session,bill_identifier,vote_kind,chamber_or_committee,motion,date,result,voter_name,vote,party,party_source,minutes_url
80,AB122,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Parks, David",yea,Democratic,nelis_legislator_directory,
80,AB122,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Pickard, Keith",yea,Republican,nelis_legislator_directory,
80,AB122,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Ratti, Julia",yea,Democratic,nelis_legislator_directory,
80,AB122,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Scheible, Melanie",yea,Democratic,nelis_legislator_directory,
80,AB122,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Seevers Gansert, Heidi",yea,Republican,nelis_legislator_directory,
80,AB122,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Settelmeyer, James",yea,Republican,nelis_legislator_directory,
80,AB122,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Spearman, Pat",yea,Democratic,nelis_legislator_directory,
80,AB122,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Woodhouse, Joyce",yea,Democratic,nelis_legislator_directory,
80,AB122,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Washington, Marcia",excused,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Assefa, Alexander",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Backus, Shea",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Benitez-Thompson, Teresa",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Bilbray-Axelrod, Shannon",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Carlton, Maggie",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Carrillo, Richard",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Cohen, Lesley",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Daly, Skip",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Duran, Bea",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Edwards, Chris",yea,Republican,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Ellison, John",yea,Republican,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Flores, Edgar",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Frierson, Jason",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Fumo, Ozzie",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Gorelow, Michelle",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Hafen, Gregory",yea,Republican,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Hansen, Alexis",yea,Republican,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Hardy, Melissa",yea,Republican,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Jauregui, Sandra",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Kramer, Al",yea,Republican,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Krasner, Lisa",yea,Republican,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Leavitt, Glen",yea,Republican,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Martinez, Susie",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"McCurdy, William",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Miller, Brittney",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Monroe-Moreno, Daniele",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Munk, Connie",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Neal, Dina",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Nguyen, Rochelle",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Peters, Sarah",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Roberts, Tom",yea,Republican,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Smith, Greg",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Spiegel, Ellen",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Swank, Heidi",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Thompson, Tyrone",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Titus, Robin",yea,Republican,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Tolles, Jill",yea,Republican,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Torres, Selena",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Watts, Howard",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Wheeler, Jim",yea,Republican,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Yeager, Steve",yea,Democratic,nelis_legislator_directory,
80,AB123,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Hambrick, John",excused,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Assefa, Alexander",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Backus, Shea",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Benitez-Thompson, Teresa",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Bilbray-Axelrod, Shannon",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Carlton, Maggie",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Carrillo, Richard",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Cohen, Lesley",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Daly, Skip",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Duran, Bea",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Edwards, Chris",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Ellison, John",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Flores, Edgar",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Frierson, Jason",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Fumo, Ozzie",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Gorelow, Michelle",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Hafen, Gregory",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Hansen, Alexis",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Hardy, Melissa",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Jauregui, Sandra",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Kramer, Al",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Krasner, Lisa",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Leavitt, Glen",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Martinez, Susie",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"McCurdy, William",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Miller, Brittney",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Monroe-Moreno, Daniele",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Neal, Dina",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Nguyen, Rochelle",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Peters, Sarah",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Roberts, Tom",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Smith, Greg",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Spiegel, Ellen",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Swank, Heidi",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Thompson, Tyrone",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Titus, Robin",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Tolles, Jill",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Torres, Selena",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Watts, Howard",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Wheeler, Jim",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Yeager, Steve",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Hambrick, John",excused,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Munk, Connie",excused,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Brooks, Chris",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Cancela, Yvanna",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Cannizzaro, Nicole",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Denis, Moises",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Dondero Loop, Marilyn",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Goicoechea, Pete",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Hammond, Scott",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Hansen, Ira",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Hardy, Joseph",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Harris, Dallas",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Kieckhefer, Ben",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Ohrenschall, James",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Parks, David",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Pickard, Keith",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Ratti, Julia",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Scheible, Melanie",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Seevers Gansert, Heidi",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Settelmeyer, James",yea,Republican,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Spearman, Pat",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Washington, Marcia",yea,Democratic,nelis_legislator_directory,
80,AB124,floor_final_passage,Senate (1st Reprint),Final Passage,,,"Woodhouse, Joyce",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Assefa, Alexander",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Backus, Shea",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Benitez-Thompson, Teresa",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Bilbray-Axelrod, Shannon",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Carlton, Maggie",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Carrillo, Richard",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Cohen, Lesley",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Daly, Skip",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Duran, Bea",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Edwards, Chris",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Ellison, John",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Flores, Edgar",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Frierson, Jason",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Fumo, Ozzie",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Gorelow, Michelle",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Hafen, Gregory",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Hansen, Alexis",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Hardy, Melissa",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Jauregui, Sandra",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Kramer, Al",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Krasner, Lisa",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Leavitt, Glen",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Martinez, Susie",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Miller, Brittney",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Monroe-Moreno, Daniele",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Munk, Connie",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Neal, Dina",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Nguyen, Rochelle",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Peters, Sarah",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Roberts, Tom",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Smith, Greg",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Spiegel, Ellen",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Swank, Heidi",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Thompson, Tyrone",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Titus, Robin",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Tolles, Jill",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Torres, Selena",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Watts, Howard",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Wheeler, Jim",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Yeager, Steve",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"Hambrick, John",excused,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Assembly (2nd Reprint),Final Passage,,,"McCurdy, William",excused,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Brooks, Chris",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Cancela, Yvanna",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Cannizzaro, Nicole",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Denis, Moises",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Dondero Loop, Marilyn",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Goicoechea, Pete",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Hammond, Scott",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Hansen, Ira",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Hardy, Joseph",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Harris, Dallas",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Kieckhefer, Ben",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Ohrenschall, James",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Parks, David",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Pickard, Keith",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Ratti, Julia",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Scheible, Melanie",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Seevers Gansert, Heidi",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Settelmeyer, James",yea,Republican,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Spearman, Pat",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Woodhouse, Joyce",yea,Democratic,nelis_legislator_directory,
80,AB129,floor_final_passage,Senate (3rd Reprint),Final Passage,,,"Washington, Marcia",excused,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Assefa, Alexander",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Backus, Shea",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Benitez-Thompson, Teresa",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Bilbray-Axelrod, Shannon",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Carlton, Maggie",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Carrillo, Richard",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Cohen, Lesley",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Daly, Skip",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Duran, Bea",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Edwards, Chris",yea,Republican,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Ellison, John",yea,Republican,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Flores, Edgar",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Frierson, Jason",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Fumo, Ozzie",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Gorelow, Michelle",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Hafen, Gregory",yea,Republican,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Hansen, Alexis",yea,Republican,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Hardy, Melissa",yea,Republican,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Jauregui, Sandra",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Kramer, Al",yea,Republican,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Krasner, Lisa",yea,Republican,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Leavitt, Glen",yea,Republican,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Martinez, Susie",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"McCurdy, William",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Miller, Brittney",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Monroe-Moreno, Daniele",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Munk, Connie",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Neal, Dina",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Nguyen, Rochelle",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Peters, Sarah",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Roberts, Tom",yea,Republican,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Smith, Greg",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Swank, Heidi",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Thompson, Tyrone",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Titus, Robin",yea,Republican,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Tolles, Jill",yea,Republican,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Torres, Selena",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Watts, Howard",yea,Democratic,nelis_legislator_directory,
80,AB131,floor_final_passage,Assembly (1st Reprint),Final Passage,,,"Wheeler, Jim",yea,Republican,nelis_legislator_directory,
